"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 8","css-1jxf684 9","css-1jxf684 11","css-1jxf684 12","css-1jxf684 13","css-1jxf684 19","css-146c3p1 4","css-1jxf684 href 3","css-1jxf684 25","css-1jxf684 26","css-1jxf684 href 4","css-1jxf684 27"
"https://x.com/guimei2929","https://pbs.twimg.com/profile_images/1910207440030978048/dQGRpn9i_bigger.jpg","黎明♤(澳喜特戰)","@guimei2929","·","Jul 1","【大地悲歌】

Dongguan, once a workers' paradise for migrant laborers, is facing a blow as","Canadian","company Tianhong announces its withdrawal of investment.
A large number of workers are now facing","24","8","532","unemployment",".

東莞打工人的打工天堂
加拿大企業天弘宣佈撤資。 
大批工人將面臨失業。","","","","","","",""
"https://x.com/WilliamLaceyYYC","https://pbs.twimg.com/profile_images/1736422455777067008/mikA814Q_bigger.jpg","William Lacey","@WilliamLaceyYYC","·","Jul 17","","Canadian","by age group (I had to impute 45-54 as it is not disclosed). Yes, we have a real problem with youth","2","2","787","unemployment",". The biggest problem is in urban centres where June data said","","","","","","",""
"https://x.com/WeAreCanProud","https://pbs.twimg.com/profile_images/1856412712122667008/YaZJYZY6_bigger.jpg","Canada Proud","@WeAreCanProud","·","Jun 6",": Canada's","unemployment","rate rises to 7%, the third consecutive rise in a row as population growth continues to outpace growth in employment.","266","568","156K","","","","","","","","",""
"https://x.com/dkreative1","https://pbs.twimg.com/profile_images/1739686317192073216/FCz4b1hy_bigger.jpg","Karen","@dkreative1","·","Jul 13","You mean the ADDITIONAL 6,000 jobs you had to add to your already 70,000 jobs because our economy is crumbling?

We noticed.

And it’s a big reason why","unemployment","numbers weren’t rising in June.

Liberals are STILL buying","2","9","767","Canadian","jobs. 

Good thing you cut foreign workers","","Replying to","https://x.com/liberal_party","@liberal_party","","",""
"https://x.com/TomTSEC","https://pbs.twimg.com/profile_images/1343895838616125441/bKGCQS7g_bigger.jpg","Tom Quiggin","@TomTSEC","·","May 10","Canada 

Age 15-25","unemployment","rate =  14.1%

This is the result of 10 years of capital destruction under the Liberals/Trudeau.  It will get worse from here.","345","1K","80K","","","","","","","","",""
"https://x.com/MarcNixon24","https://pbs.twimg.com/profile_images/1831222979092770816/BE_0gt5__bigger.jpg","Marc Nixon","@MarcNixon24","·","Jun 6","Urban job market MELTDOWN

Top 5 worst-hit","Canadian","cities by","45","142","22K","unemployment","rate (May 2025):

1) Windsor:","","","","","","",""
"https://x.com/MarcNixon24","https://pbs.twimg.com/profile_images/1831222979092770816/BE_0gt5__bigger.jpg","Marc Nixon","@MarcNixon24","·","May 9","BREAKING:
Canada’s","unemployment","rate just hit 6.9% — the highest since 2016 (excluding pandemic).

And get this…
+37,000 jobs were temporary election hires in public admin.
Translation? They’re about to vanish.

Film industry (244,000 jobs) we will see? 
Manufacturing lost","56","227","24K","","","","","","","","",""
"https://x.com/martianwyrdlord","https://pbs.twimg.com/profile_images/1877000154605064192/MERP8ckg_bigger.jpg","John Carter","@martianwyrdlord","·","Jun 19","Youth","unemployment","in Canada is 20%.","3","7","3.2K","Canadian","government target is keeping the immigrant share of the labour force above 25%.

Elbows Up!","Quote","","","","","",""
"https://x.com/DouglasTodd","https://pbs.twimg.com/profile_images/622898916921454597/PLs1UT9S_bigger.jpg","DouglasTodd","@DouglasTodd","·","Jun 9","""Rising","unemployment","continues to be driven by Canada's aggressive immigration strategy, which added 4 workers for every job last month,"" says","4","30","5.5K","",".
""There’s a reason Canada’s strategy hasn’t been adopted elsewhere.""","","","","","#bcpoli","https://x.com/hashtag/cdnecon?src=hashtag_click","#cdnecon"
"https://x.com/DemosKratosCA","https://pbs.twimg.com/profile_images/1939874140493602817/Rwds1h-E_bigger.jpg","Pascal Anglehart","@DemosKratosCA","·","May 9","Canada's","unemployment","hits 6.9%, and what does Ottawa do? Blame external factors. Real Canadians face real job losses. Youth","23","99","5.4K","unemployment","stands at 14.1%. A generation sacrificed in the name of unchecked mass immigration policies. Something needs to happen now.","","","","","","",""
"https://x.com/mapleblooded","https://pbs.twimg.com/profile_images/1902505411569213440/AR1kRy2g_bigger.jpg","Anti-Taxxer","@mapleblooded","·","May 19","The","unemployment","rate in Canada is 6.9% but somehow these cartoon characters always have an anecdote that is the exception to reality.","36","4","23K","","","","Replying to","https://x.com/BmurphM","@BmurphM","","",""
"https://x.com/fired4covid","https://pbs.twimg.com/profile_images/1896572902524231680/9YqOW33f_bigger.jpg","Fired for ""COVID-19"".","@fired4covid","·","2h","corruption from the top has driven up","Canadian","","","","13","","and tension across a variety of issues. Who is going to","","","","","#onpoli","https://x.com/hashtag/RESIGN?src=hashtag_click","#RESIGN"
"https://x.com/SemperVeritasX","https://pbs.twimg.com/profile_images/1829309374776365056/2I83qSB0_bigger.jpg","John-Paul Berg","@SemperVeritasX","·","Jun 17","Another 2 billion from the","Canadian","taxpayer to fund the Eastern European meat grinder. Canada has a 7 percent","133","644","16K","unemployment","rate, and housing costs are out of control. Yet the Carney regime has brought in over 850,000 immigrants so far this year and gave another 2 billion to","","","","","","",""
"https://x.com/TheRealKitty019","https://pbs.twimg.com/profile_images/1852596825452425216/dgrTWCum_bigger.jpg","Kitty","@TheRealKitty019","·","Jun 21",">20%","unemployment","for 18-25","3","","69","Canadian","citizens.

>20%.","Quote","","","","","",""
"https://x.com/BruceBeck242979","https://pbs.twimg.com/profile_images/1841857365936898052/ydplk750_bigger.jpg","Air Cav","@BruceBeck242979","·","Jul 4","Hmm. The","Canadian","","8","55","751","unemployment","rate is 7.1%. The US rate is 4.1%.  How is that working out for Canadians?","","Replying to","https://x.com/Markfry809","@Markfry809","","",""
"https://x.com/RalucaMackenzie","https://pbs.twimg.com/profile_images/1913941182087852032/EfHfaAA1_bigger.png","Raluca MacKenzie Client Care","@RalucaMackenzie","·","Jul 4","Grads:","Canadian","Crisis & Systemic Failure","","#InterestRates","6","Unemployment","","","","https://x.com/hashtag/EconomicCrisis?src=hashtag_click","#EconomicCrisis","#JobMarket","https://x.com/hashtag/NewGrads?src=hashtag_click","#NewGrads"
"https://x.com/Tablesalt13","https://pbs.twimg.com/profile_images/1922651241483472896/IntZ5Yo5_bigger.jpg","Tablesalt","@Tablesalt13","·","May 9","NEW","UNEMPLOYMENT","RATE IN CANADA HITS 6.9%

HIGHEST SINCE 2016 (excluding pandemic)

THIS IS WITH +37,000 JOBS FOR THE ELECTION (to disappear) 

ONTARIO SPIKES TO 7.8% UNEMPLOYED","82","200","19K","","","","","","","","",""
"https://x.com/suzannealma","https://pbs.twimg.com/profile_images/1928906860540669952/rnbU9myw_bigger.jpg","Suzanne Allen","@suzannealma","·","Jun 26","Wow..what about","Canadian","made ferries rather than Chinese-made..no wonder our","2","1","77","unemployment","is sky high.","Quote","","","https://","","",""
"https://x.com/NatCitizens","https://pbs.twimg.com/profile_images/1402661365236572161/qGUaSls1_bigger.jpg","National Citizens Coalition","@NatCitizens","·","Jun 20","National Citizens Coalition wants","Canadian","employers to avoid using Temporary Foreign Worker Program, calls for urgent immigration reform to put","16","215","4.5K","Canadian","workers first and counter record-high youth","Group urges firms to 'hire Canadian' as students struggle to find summer jobs","","","","","",""
"https://x.com/CanadianGrayMan","https://pbs.twimg.com/profile_images/1945334654178926592/6sa3-O5X_bigger.jpg","Canadian Gray Man","@CanadianGrayMan","·","Jun 5","This is the state of Canada right now.

All the parties want a summer vacation so they give a free pass to the Liberals to continue their spending and immigration.

Canada is in a gigantic debt of $70 billion a year just for interest payments.

And, our national","unemployment","rate","10","42","2.1K","","","","","","","","",""
"https://x.com/BrendonBernard_","https://pbs.twimg.com/profile_images/1760090780507533312/n4vrgr6Y_bigger.jpg","Brendon Bernard","@BrendonBernard_","·","Jun 9","One exception to the generally weaker","Canadian","employment data: 

Involuntary part-time employment is typically correlated with the","3","8","1.3K","unemployment","rate. But in mid-2025, there are relatively few workers are stuck in PT jobs who'd prefer an FT one.","","","","","","",""
"https://x.com/martianwyrdlord","https://pbs.twimg.com/profile_images/1877000154605064192/MERP8ckg_bigger.jpg","John Carter","@martianwyrdlord","·","Jun 18","Youth","unemployment","at historical highs while browns are being recruited for menial positions in their home countries. 

The","6","58","8K","Canadian","government is actively subsidizing this.

Elbows Up!","Quote","","","","","",""
"https://x.com/MarcNixon24","https://pbs.twimg.com/profile_images/1831222979092770816/BE_0gt5__bigger.jpg","Marc Nixon","@MarcNixon24","·","Nov 15, 2024","U.S. Inflation rate up October CPI hit 2.6%, up from 2.4% in September. 

Core inflation steady at 3.3%. 

Tariffs could add pressure to Inflation.","Unemployment","creeps up to 4.1%.

Canada","5","7","1.2K","Canadian","inflation 1.6% 

More rate cuts incoming. Not bullish for","","","","","","",""
"https://x.com/BrendonBernard_","https://pbs.twimg.com/profile_images/1760090780507533312/n4vrgr6Y_bigger.jpg","Brendon Bernard","@BrendonBernard_","·","Jun 23","The May 2025","Canadian","","4","","356","unemployment","rate matched its 2016 level, and 2012 level for youth (ex-pandemic). 

However the historic comparison is aided by a sustained relative improvement in Quebec post-2016. Ex-QC, the comparable rates are now 2012 for total, and 2010 for youth.","","","","","","",""
"https://x.com/B_Smallberries","https://pbs.twimg.com/profile_images/1740116555369971713/TyNONSNk_bigger.jpg","Biff Smallberries","@B_Smallberries","·","Jun 11","Leftist Failure / Canada","Canadian","","2","2","223","Unemployment","Rate Has Now Hit 7%","Canadian Unemployment Rate Has Now Hit 7%","","","","","",""
"https://x.com/MarcPatrone","https://pbs.twimg.com/profile_images/1156603363083132929/aO6z6shF_bigger.jpg","MarcPatroneShow","@MarcPatrone","·","5h","among younger","Unemployment","workers is 15%.","14","23","6.7K","Canadian","","","Replying to","https://x.com/FoodProfessor","@FoodProfessor","","",""
"https://x.com/Kunta__Kinte__","https://pbs.twimg.com/profile_images/1649144329250697232/-pPke4al_bigger.jpg","Kunta Kinte","@Kunta__Kinte__","·","Jun 9","The reason","canadian","","","","32","unemployment","is so high is because the whites are lazy and refuse to find work.

This is why we need more work visas. Because the immigrants coming in will do more to build canada than the whites will.","Quote","","","","","",""
"https://x.com/paleonormie","https://pbs.twimg.com/profile_images/1930801613888749568/nVgZLfAG_bigger.jpg","pnorm","@paleonormie","·","Jul 2","The high concentration of","Canadian","YouTube creators was a mystery until I learned about that 20% youth","17","","495","unemployment","rate","","","","","","",""
"https://x.com/CPC_HQ","https://pbs.twimg.com/profile_images/1699838689747075072/Rr2891pZ_bigger.jpg","Conservative Party","@CPC_HQ","·","Jul 7, 2020","According to a recent OCED report, Canada’s","unemployment","rate under Justin Trudeau’s Liberal government is 13.7%.","99","131","","","","","","","","","",""
"https://x.com/NatCitizens","https://pbs.twimg.com/profile_images/1402661365236572161/qGUaSls1_bigger.jpg","National Citizens Coalition","@NatCitizens","·","Dec 7, 2024","at 6.8%.

1.5 million jobless.

Record crime, rents, and wait times.

And the Trudeau Liberals *still* haven’t made changes to their disastrous mass immigration policies.","Unemployment","We’ll fire them, and put Canadians first.","26","193","8.9K","","National Citizens Coalition","","","","","","",""
"https://x.com/KobeissiLetter","https://pbs.twimg.com/profile_images/975569364652118016/b8HI_D8A_bigger.jpg","The Kobeissi Letter","@KobeissiLetter","·","May 9","BREAKING: Canada's","unemployment","rate surges to +6.9%, above expectations, marking its highest level since 2021.

Canada's youth","323","716","372K","unemployment","rate now stands at a whopping 13.7%.

Tariffs are already taking their toll and Canada.","","","","","","",""
"https://x.com/daniel_foch","https://pbs.twimg.com/profile_images/1817955562509783041/xdQ0dvRz_bigger.jpg","Daniel Foch","@daniel_foch","·","Jul 16","Youth","Canadian","at Recession Levels. The Kids Are Not Alright: BMO","14","8","2.9K","Unemployment","","","","","","","",""
"https://x.com/teshen8lin","https://pbs.twimg.com/profile_images/1704327223618965504/8kHJLw-1_bigger.jpg","Professor Garlic","@teshen8lin","·","Jun 20","Trump calls for","Canadian","'unconditional surrender' as","","","161","unemployment","","Quote","","","","$SHOP","https://x.com/search?q=%24TSLA&src=cashtag_click","$TSLA"
"https://x.com/ManyBeenRinsed","https://pbs.twimg.com/profile_images/1947246877641953280/c4j_khzu_bigger.jpg","EconomicWoes","@ManyBeenRinsed","·","Aug 8, 2024","Canada’s","unemployment","numbers come out tomorrow and it’s gonna start to cause some panic in the country. 

My call is 6.6-6.8%","23","37","26K","unemployment","in the land.","","","","","","",""
"https://x.com/Concern70732755","https://pbs.twimg.com/profile_images/1755359866628009984/mDUwD8Tz_bigger.jpg","Concerned Canadian","@Concern70732755","·","Jun 11","Gen Z is facing the worst youth","unemployment","rate in decades

Your government has failed this demographic!!
And still they have no solutions.
They exacerbated the issue with mass immigration!

It’s no wonder that they voted for real change & the CPC","6","7","891","","","Gen Z is facing the worst youth unemployment rate in decades. Here is how it's different | CBC News","","","","","",""
"https://x.com/Squish_meister","https://pbs.twimg.com/profile_images/1377475026354585600/dz81CwhH_bigger.jpg","Squishmeister (Unlimited C0MMS open)","@Squish_meister","·","Jun 26","The frequency in which I reply to posts here must really give off","unemployment","vibes, but I can assure you according to the","14","","1.3K","Canadian","government I am ""self employed""","","","","","","",""
"https://x.com/AssetTraveller","https://pbs.twimg.com/profile_images/1890049429815611392/p9dOlM4S_bigger.jpg","Adam","@AssetTraveller","·","Dec 6, 2024","","Canadian","6.8%,","53","176","109K","unemployment","dollar 1.41,","","","","","","",""
"https://x.com/CandiceMalcolm","https://pbs.twimg.com/profile_images/1490717187581132809/QT1fohHf_bigger.jpg","Candice Malcolm","@CandiceMalcolm","·","Feb 4, 2022","Canada lost 200,000 jobs in January, nearly double what economists expected, and the","unemployment","rate rose to 6.5%. This is because of the lockdowns and the mandates. But yeah, keep blaming the truckers for all your problems.","143","1.9K","","","","","","","","","",""
"https://x.com/6ixbuzztv","https://pbs.twimg.com/profile_images/1776337598752940032/-zr-sAIW_bigger.jpg","6ixBuzzTV","@6ixbuzztv","·","Jul 5, 2024",": Canada’s","unemployment","rate rose to 6.4%, its highest level since January 2022.","48","45","33K","","","","","","","","",""
"https://x.com/business","https://pbs.twimg.com/profile_images/1631723279676317709/-fjgaR2p_bigger.jpg","Bloomberg","@business","·","Jul 11","The","Canadian","economy shrugged of tariff uncertainty and added the largest number of jobs in six months, with","7","28","30K","unemployment","rate falling for the first time since January","Canada Unexpectedly Adds 83,100 Jobs, Biggest Gain of 2025","","","","","",""
"https://x.com/GRDecter","https://pbs.twimg.com/profile_images/1873440223801016320/wt5Xj516_bigger.jpg","Genevieve Roch-Decter, CFA","@GRDecter","·","Jun 9, 2023","Canada's","unemployment","rate just hit 5.2%

Jerome Powell is so jealous right now","46","77","76K","","","","","","","","",""
"https://x.com/DMillardHaskell","https://pbs.twimg.com/profile_images/937710629032378369/XrkuaWH0_bigger.jpg","David Millard Haskell","@DMillardHaskell","·","Jul 8","Look at these immigration numbers & remember:","Unemployment","among","2","1","273","Canadian","youth is at a record high. Many will not be able to pay for post-secondary & will fall into terrible debt.
More: access to timely healthcare is now impossible & rents & housing prices are out of control.","Quote","","","","","",""
"https://x.com/StephHughes95","https://pbs.twimg.com/profile_images/1111228977665003522/Xl7ac7lB_bigger.png","Stephanie Hughes","@StephHughes95","·","Jul 5, 2024","BREAKING: Canada loses 1,400 jobs in June compared to Bloomberg economist estimates of a 25,000 gain.","Unemployment","rate rises to 6.4%","57","212","76K","","","","","","","","",""
"https://x.com/ManyBeenRinsed","https://pbs.twimg.com/profile_images/1947246877641953280/c4j_khzu_bigger.jpg","EconomicWoes","@ManyBeenRinsed","·","Dec 6, 2024","The economic hub of Canada has an","unemployment","rate of 7.6% while there’s thousands and thousands of homeowners trying to sell their shitboxes for 1.5M+.

Welcome to Ontario. Yours to get fucked.","23","51","24K","","","","","","","","",""
"https://x.com/tweegirl","https://pbs.twimg.com/profile_images/1715445297889886208/po44lUe5_bigger.jpg","Steph","@tweegirl","·","3h","Elbows up morons: Buy","Canadian","! Boycott American products!

Also elbows up morons: Hire foreign indentured servants! 15% youth","1","1","17","unemployment","! Yay!","Quote","","","","","",""
"https://x.com/WeAreCanProud","https://pbs.twimg.com/profile_images/1856412712122667008/YaZJYZY6_bigger.jpg","Canada Proud","@WeAreCanProud","·","Sep 6, 2024",": Canada's","unemployment","rate rises AGAIN to 6.6% after 44,000 full time jobs were lost in the month of August.","67","178","15K","","","","","","","","",""
"https://x.com/ThorneS99376","https://pbs.twimg.com/profile_images/1917703776938405888/lVDP-6pV_bigger.jpg","ThorneInYourSide","@ThorneS99376","·","Jun 29","You left off the","Canadian","","","","13","unemployment","rate of 7% and likely rising","Quote","","","","","",""
"https://x.com/globalnews","https://pbs.twimg.com/profile_images/1580227290952335360/Ew3OQkOi_bigger.jpg","Globalnews.ca","@globalnews","·","May 9","","Canadian","increased to 6.9% in April from 6.7% in March, says Statistics Canada, with nearly no net job growth.","474","250","59K","unemployment","","Canadian unemployment increased again in April, says Statistics Canada - National | Globalnews.ca","","","","","",""
"https://x.com/StephenPunwasi","https://pbs.twimg.com/profile_images/1588703694949859331/Z5sVr1Td_bigger.jpg","Stephen Punwasi","@StephenPunwasi","·","Jul 18","I can grab the more granular data later, but this is a good start.","","","1","2","49","","","","Replying to","https://x.com/Bananrama2","@Bananrama2","and","https://x.com/occamzrazor42","@occamzrazor42"
"https://x.com/cdntradegrljenn","https://pbs.twimg.com/profile_images/1728501110380679168/H9A_ooHU_bigger.jpg","Canadian Jennifer","@cdntradegrljenn","·","Jul 3","In June, the US economy gained 147,000 jobs, surpassing forecasts of 111,000. 

The","unemployment","rate dropped to 4.1%, beating expectations of 4.3%. 

May's jobs figure was revised upward from 139,000 to 144,000.","23","15","1.3K","","","","","","","","https://x.com/search?q=%24QQQ&src=cashtag_click","$QQQ"
"https://x.com/GeoffRuss3","https://pbs.twimg.com/profile_images/1915464578080665600/HxCjM6Iw_bigger.jpg","Geoff Russ","@GeoffRuss3","·","4h","There's massive","Canadian","youth","1","3","226","unemployment",". Why don't employers start advertising jobs to them specifically? 

I heard from a former business owner that, due to minimum wage hikes, he'd rather pay a 25-year-old TFW than an 18-year old","Quote","","","","","",""
"https://x.com/Victoria59L","https://pbs.twimg.com/profile_images/1932944243015725056/HYSrppGc_bigger.jpg","VictoriaL59","@Victoria59L","·","Jun 27","It’s not surprising. TFW employer incentive’s, intl students who are allowed to work longer hours ~ ALL LIBERAL POLICIES. Ask yourself who was in charge","Canadian","Buy","2","11","1K","ANADIAN","….how about HIRE C","","Replying to","https://x.com/business","@business","","",""
"https://x.com/ManyBeenRinsed","https://pbs.twimg.com/profile_images/1947246877641953280/c4j_khzu_bigger.jpg","EconomicWoes","@ManyBeenRinsed","·","Nov 8, 2024","rate stays at 6.5 but the participation rate and hours worked is collapsing in Canada. 

Hasn’t been this bad since the 90’s minus the Covid crash. 

Silent depression.","Unemployment","","21","35","20K","","","","","","","","",""
"https://x.com/MarketManiaCa","https://pbs.twimg.com/profile_images/1925543501036388352/iPmmZpWs_bigger.jpg","Market Mania","@MarketManiaCa","·","Sep 6, 2024","Over 1.5 million people are now unemployed in Canada! Up nearly 30% in 1 year. The","","silent depression!","83","603","100K","","","","","","","","",""
"https://x.com/VicBuilders","https://pbs.twimg.com/profile_images/440552638786969600/kKYYuTDN_bigger.jpeg","Victoria Residential Builders Association","@VicBuilders","·","Jun 16","""","Canadian","","https://","theglobeandmail.com/business/caree","87","unemployment","rate for youth aged 15 to 24 was 14.1% more than twice the 6.9% rate for the overall labour force...young workers should be open to the idea of acquiring training in the trades"" Youth open, schools not","To boost productivity, more young Canadians must go into the skilled trades","","https://t.co/muVrBLj9et","","","",""
"https://x.com/riteshmjn","https://pbs.twimg.com/profile_images/1874093889570721792/X82bO5Hs_bigger.jpg","Ritesh Jain","@riteshmjn","·","Dec 6, 2024","No Canada is not in recession... it is in depression.","Canadian","","165","412","347K","unemployment","rate is highest since 2016 (outside of covid)

Last time the","","","","","","",""
"https://x.com/GreggoreA1","https://pbs.twimg.com/profile_images/1702497874842427392/lLAClq4r_bigger.jpg","Greggore","@GreggoreA1","·","Jul 3","80,000+ international students didn't show up for class last year. 

They took jobs from","Canadian","youth and young adults.","9","35","1.9K","Unemployment","for 15-25 is around 16%

So sorry if a few of you lost your jobs, millions of young Canadians will never own a home!","","Replying to","https://x.com/ShaziGoalie","@ShaziGoalie","","",""
"https://x.com/mindingottawa","https://pbs.twimg.com/profile_images/2676782324/7d9c7078eac5a4037fafa6ad6ef64f8e_bigger.jpeg","Blacklock's Reporter","@mindingottawa","·","Jul 14","Internal","Canadian","audit confirmed impact of foreign students on","44","318","24K","Unemployment","youth was not considered. “Impacts are not monitored.”
— Evaluation Of The International Mobility Program","Quote","","","https://","","",""
"https://x.com/MrStache9","https://pbs.twimg.com/profile_images/1245154459883393025/C-4Uv_Jy_bigger.jpg","Mr Stache","@MrStache9","·","Dec 6, 2019","Canada's ""Jobs"" report just came out, being called ""A Dramatic Disappointment"". Over 71,000 jobs lost.","Unemployment","has risen to 5.9%.
Trudeaunomics.","52","189","","","","","","","","","",""
"https://x.com/CdnMortgageNews","https://pbs.twimg.com/profile_images/1476288285626490885/cCGkM5NJ_bigger.jpg","Canadian Mortgage Trends","@CdnMortgageNews","·","Jul 11","Canada added 83,000 jobs in June, well above expectations, with nearly 70,000 of them part-time,","unemployment","reported. Full-time employment rose by just 12,600. The","1","1","433","","rate edged down to 6.9%, while wage growth cooled to 3.2%.","","","","","#LabourMarket","https://x.com/hashtag/JobsReport?src=hashtag_click","#JobsReport"
